ingredient,category
peg/ppg/polybutylene glycol-8/5/3 glycerin,cosmetic
parfum/fragrance (f.i.l. : n285959/1).,cosmetic
argania  spinosa  kernel  oil,cosmetic
"fermented ingredient that supports the natural cell renewal process and target visible imperfections early.

water\aqua\eau",cosmetic
"-salicylic acid 2%: addresses current breakouts and discourages new ones from appearing.
-amino acid technology: precisely targets irritation-causing bacteria.
-natural phytosteroid: hydrates",cosmetic
-hyaluronic acid and vitamin b5: help boost moisture in the skin,cosmetic
phytosteryl/isostearyl/cetyl/stearyl/behenyl dimer dilinoleate,cosmetic
tetrahexyldecyl ascorbate (vitamin c/antioxidant),cosmetic
the list of ingredients is subject to change,cosmetic
"and omega 3.
-cranberry seed oil: rich in vitamins a",cosmetic
ingredients: hydrogenated polyisobutene,cosmetic
camellia sinensis (tea plant) leaf extract,cosmetic
it’s clinically shown to visibly minimize appearance of fine lines and wrinkles,cosmetic
gluthathione,cosmetic
provides long-lasting moisture,cosmetic
bis-diglyceryl polyacyladipate-2,cosmetic
mel (honey,cosmetic
polysorbate 20 (emulsifier),cosmetic
"can improve the visible signs of aging.
-squalane: helps skin maintain moisture for an improvement in softness and smoothness.

squalane",cosmetic
urtlca dioica (nettle) extract,cosmetic
"fine lines.

aqua/water/eau",cosmetic
curcuma longa [curcuma longa (turmeric) root extract],cosmetic
"-broccoli extract: creates a natural enzymatic anti-pollution effect to purge impurities and fight free radicals.
-purple clay complex: absorbs oil and dirt buildup to cleanse skin without stripping its natural moisture.
-payapa enzymes: provide chemical exfoliation to clean",cosmetic
zinc oxide.,cosmetic
jojoba (simmondsia chinensis) seed oil,cosmetic
caesalpinia spinosa gum,cosmetic
oxybenzone 1.5%,cosmetic
"-pha 3%: improves skin texture by exfoliating dead skin cells and allows other skincare to penetrate deeper into the skin.
-niacinamide 3%: helps control excess oil",cosmetic
"phenoxyethanol. *essential oil.

please be aware that ingredient lists may change or vary from time to time. please refer to the ingredient list on the product package you receive for the most up-to-date list of ingredients.",cosmetic
linum alpinum flower/leaf/stem extract,cosmetic
stearyl ether,cosmetic
lavandula angustifolia (lavender) essential oil,cosmetic
supporting collagen production and visibly diminishing fine lines,cosmetic
unclogs pores,cosmetic
eucalyptus globulus leaf water,cosmetic
"-tranexamic acid 2.5%: an amino acid derivative that minimizes the appearance of dark spots.
-aha blend 10%: improves the appearance of uneven skin tone and texture.
-kojic acid 0.5% and alpha-arbutin 2.5%: provide visibly brightening benefits to minimize the look of discoloration.

water/aqua/eau",cosmetic
""" its rejuvenating properties reduces the appearance of fine lines and wrinkles while improving skin's visible elasticity.
-peptide: palmitoyl tripeptide-5 is a synthetic peptide consisting of fatty and amino acids",cosmetic
-damascus rose oil: soothes skin,cosmetic
"-squalane: supports and nourishes skin’s moisture barrier.

-glycerin: helps retain moisture and soften skin.

-glacial glycoprotein: hydrates and maintains skin’s moisture balance.

aqua /water",cosmetic
"radiant look.

water/aqua/eau",cosmetic
"-hyaluronic acid: visibly plumps the skin.
-longoza-ferments blend: helps strengthen the skin barrier.

aqua (water)",cosmetic
"and condition.
-avobenzone 3%",cosmetic
rose quartz,cosmetic
sodium dehydroacetate.,cosmetic
aloe powder (leaf) (aloe barbadensis),cosmetic
"and hydrates.

crambe abyssinica seed oillimnanthes alba (meadowfoam) seed oil",cosmetic
and intensive moisture.-caviar lime: improves cell turnover and hydration for smoother,cosmetic
"and visibly clarifying blemishes.
-licorice and lemongrass: brighten the appearance of dark spots and skin discoloration.
-prickly pear extract: soothes the appearance of surface redness and sensitive skin.

botanical blend [aqua",cosmetic
pisum sativum extract,cosmetic
"oil and debris. -vitamin e: leaves skin feeling calm and comfortable. 
 water",cosmetic
